issue	area	type_label_state	title
#120	merge_handoff_gate	type:bugfix	Require durable reviewer PASS evidence before merge handoff
#121	uncategorized	type:bugfix	Scope final audit verdicts to the assigned slice
#122	uncategorized	type:bugfix	Constrain current-day collectors to explicit session checkpoints
#123	uncategorized	type:bugfix	Redact inventory scan output before printing sensitive defaults
#124	role_gate_coverage	type:bugfix	Align Kubernetes route proof with local AGENTS
#125	merge_handoff_gate	type:bugfix	Classify live-tool mentions before failing PR safety scans
#126	validation_overlay	type:develop-ready	Enforce research-skip evidence in bears-sdd workflow
#127	uncategorized	type:bugfix	Keep current-state audits off stale memory and broad scans
#128	git_branch_repo_hygiene	type:bugfix	Audit gitlink syncs against the target object, not stale submodules
#129	merge_handoff_gate	type:bugfix	Split discovery scans from implementation handoffs
#130	uncategorized	type:bugfix	Keep parent control lane off child patch content
#131	merge_handoff_gate	type:bugfix	Default subagent PR publication to draft without checks or review
#132	merge_handoff_gate	type:develop-ready	Add a dedicated merge-authority lane for parent orchestration
#133	git_branch_repo_hygiene	type:bugfix	Require clean worktrees for ledger and gitlink closeouts
#134	github_issue_dev_cd	type:develop-ready	Require issue-type labels for automation-created governance issues
#135	uncategorized	type:bugfix	Sequence dependent fetch and final verification reads
#136	uncategorized	type:bugfix	Use safe shell headings in generated workflow commands
#137	merge_handoff_gate	type:develop-ready	Require abuse probes before static packet PR publication
#138	parallelization_preflight	type:develop-ready	Require completed-subagent close evidence before new waves
#139	github_issue_dev_cd	type:develop-ready	Require develop-ready issue bodies to carry canonical acceptance criteria
#140	role_gate_coverage	type:bugfix	fix(role-gate): align kubernetes route with infra role
#141	github_issue_dev_cd	type:develop-ready	Strengthen agent pickup duplicate guard schema and validation
#142	parallelization_preflight	type:develop-ready	Validate spawn_agent argument shape before invocation
#143	uncategorized	type:idea	Define T110 static-literal policy for negative tests
#144	git_branch_repo_hygiene	type:bugfix	Enforce codex branch prefix for subagent PRs
#145	validation_overlay	type:bugfix	Bind parent plan statuses to closeout evidence
#146	parallelization_preflight	type:bugfix	Gate CI and manifest edits in hygiene workers
#147	parallelization_preflight	type:bugfix	Preconfigure safe git identity for worker commits
#149	uncategorized	type:bugfix	Block force-adding ignored workspace surfaces
#153	parallelization_preflight	type:develop-ready	Validate wait_agent target ids before accepting results
#154	parallelization_preflight	type:develop-ready	Plan subagent fanout against thread limits
#155	parallelization_preflight	type:bugfix	Disallow nested worker delegation without parent authorization
#156	validation_overlay	type:develop-ready	Validate Secret Factory network policy as a first-class contract
#157	parallelization_preflight	bug	Reconcile partial subagent state before capacity fallback
#158	parallelization_preflight	bug	Require final subagent join gate before parent completion
#159	role_gate_coverage	bug	Block generic role fallback for Bears implementation without profile parity
#160	merge_handoff_gate	bug	Reject writable PR tasks for Bears governor roles
#161	secret_factory	type:idea	Add raw secret and env-file read blocks to read-only agent safety guard
#162	git_branch_repo_hygiene	type:bugfix	Make project dirty-baseline read-only verb validation match catalog
#163	secret_factory	type:bugfix	Make manifest forbidden-text tests cover all user-visible fields with explicit Secret Factory exceptions
#164	validation_overlay	type:develop-ready	Validate Secret Factory request_schema against runtime parser
#165	validation_overlay	type:bugfix	Require evidence-bearing validation proof in plugin constitution packets
#166	github_issue_dev_cd	type:idea	Require structured evidence objects for agent pickup gates
#167	uncategorized	type:bugfix	Pin Yandex 360 DNS API base before sending OAuth tokens
#172	uncategorized	type:idea	Add agent action documentation generator
#173	parallelization_preflight	type:develop-ready	Improve workflow parallelization preflight and worker orchestration
#178	parallelization_preflight	type:develop-ready	feat(subagents): implement smart reusable worker selection
#180	parallelization_preflight	type:develop-ready	feat(workflow): add development workflow orchestrator hierarchy
#182	parallelization_preflight	type:develop-ready	feat(workflow): add development workflow orchestrator skeleton
#183	uncategorized	type:develop-ready	feat(workflow): add development workflow packet schemas
#184	validation_overlay	type:develop-ready	feat(workflow): add development workflow validators and fixtures
#185	parallelization_preflight	type:develop-ready	feat(workflow): add domain orchestrator profiles
#186	validation_overlay	type:develop-ready	refactor(workflow): reduce hot-path policy and add hierarchy fixtures
